Surname,Name,Country,Position,Club,Age,SquadNo,Games Played,MinsPlayed,Goals,GoalsConceded,YCards,RCards
Giovanni,Di Lorenzo,ITA,Defender,Napoli,27,2,2,135,0,0,0,0
Giorgio,Chiellini,ITA,Defender,Juventus,36,3,2,114,0,0,0,0
Leonardo,Spinazzola,ITA,Defender,Roma,28,4,2,180,0,0,0,0
Emerson,Emerson,ITA,Defender,Chelsea,26,13,0,0,0,0,0,0
Francesco,Acerbi,ITA,Defender,Lazio,33,15,1,66,0,0,0,0
Leonardo,Bonucci,ITA,Defender,Juventus,34,19,2,180,0,0,0,0
Alessandro,Bastoni,ITA,Defender,Internazionale,22,23,0,0,0,0,0,0
Alessandro,Florenzi,ITA,Defender,Roma,30,24,1,45,0,0,0,0
Rafael,Tolói,ITA,Defender,Atalanta,30,25,1,20,0,0,0,0
Manuel,Locatelli,ITA,Midfielder,Sassuolo,23,5,2,160,2,0,0,0
Marco,Verratti,ITA,Midfielder,Paris,28,6,0,0,0,0,0,0
Gaetano,Castrovilli,ITA,Midfielder,Fiorentina,24,7,0,0,0,0,0,0
Jorginho,Jorginho,ITA,Midfielder,Chelsea,29,8,2,180,0,0,0,0
Matteo,Pessina,ITA,Midfielder,Atalanta,24,12,1,4,0,0,0,0
Federico,Chiesa,ITA,Midfielder,Juventus,23,14,2,30,0,0,0,0
Bryan,Cristante,ITA,Midfielder,Roma,26,16,2,20,0,0,0,0
Nicolò,Barella,ITA,Midfielder,Internazionale,24,18,2,176,0,0,0,0
Federico,Bernardeschi,ITA,Midfielder,Juventus,27,20,1,5,0,0,0,0
Andrea,Belotti,ITA,Forward,Torino,27,9,1,9,0,0,0,0
Lorenzo,Insigne,ITA,Forward,Napoli,30,10,2,150,1,0,0,0
Domenico,Berardi,ITA,Forward,Sassuolo,26,11,2,155,0,0,0,0
Ciro,Immobile,ITA,Forward,Lazio,31,17,2,171,2,0,0,0
Giacomo,Raspadori,ITA,Forward,Sassuolo,21,22,0,0,0,0,0,0
Maarten,Stekelenburg,NED,Goalkeeper,Ajax,38,1,1,90,0,3,0,0
Tim,Krul,NED,Goalkeeper,Norwich,33,13,0,0,0,0,0,0
Marco,Bizot,NED,Goalkeeper,AZ Alkmaar,30,23,0,0,0,0,0,0
Joël,Veltman,NED,Defender,Brighton,29,2,1,2,0,0,0,0
Matthijs,de Ligt,NED,Defender,Juventus,21,3,0,0,0,0,0,0
Nathan,Aké,NED,Defender,Man. City,26,4,1,26,0,0,0,0
Owen,Wijndal,NED,Defender,AZ Alkmaar,21,5,1,26,0,0,0,0
Stefan,de Vrij,NED,Defender,Internazionale,29,6,1,90,0,0,0,0
Patrick,van Aanholt,NED,Defender,Crystal Palace,30,12,1,64,0,0,0,0
Daley,Blind,NED,Defender,Ajax,31,17,1,64,0,0,0,0
Denzel,Dumfries,NED,Defender,PSV,25,22,1,90,1,0,0,0
Georginio,Wijnaldum,NED,Midfielder,Liverpool,30,8,1,90,1,0,0,0
Quincy,Promes,NED,Midfielder,Spartak Moskva,29,11,0,0,0,0,0,0
Davy,Klaassen,NED,Midfielder,Ajax,28,14,0,0,0,0,0,0
Marten,de Roon,NED,Midfielder,Atalanta,30,15,1,90,0,0,0,0
Ryan,Gravenberch,NED,Midfielder,Ajax,19,16,0,0,0,0,0,0
Donny,van de Beek,NED,Midfielder,Man. United,24,20,0,0,0,0,0,0
Frenkie,de Jong,NED,Midfielder,Barcelona,24,21,1,90,0,0,0,0
Teun,Koopmeiners,NED,Midfielder,AZ Alkmaar,23,24,0,0,0,0,0,0
Jurriën,Timber,NED,Midfielder,Ajax,19,25,1,88,0,0,0,0
Steven,Berghuis,NED,Forward,Feyenoord,29,7,0,0,0,0,0,0
Luuk,de Jong,NED,Forward,Sevilla,30,9,1,2,0,0,0,0
Memphis,Depay,NED,Forward,Lyon,27,10,1,89,0,0,0,0
Donyell,Malen,NED,Forward,PSV,22,18,1,1,0,0,0,0
Wout,Weghorst,NED,Forward,Wolfsburg,28,19,1,88,1,0,0,0
Cody,Gakpo,NED,Forward,PSV,22,26,0,0,0,0,0,0
Stole,Dimitrievski,MKD,Goalkeeper,Rayo Vallecano,27,1,1,90,0,4,0,0
Risto,Jankov,MKD,Goalkeeper,Rabotnicki,22,12,0,0,0,0,0,0
Damjan,Siskovski,MKD,Goalkeeper,Doxa,26,22,0,0,0,0,0,0
Egzon,Bejtulai,MKD,Defender,Shkëndija,27,2,1,27,0,0,0,0
Gjoko,Zajkov,MKD,Defender,Charleroi,26,3,0,0,0,0,0,0
Kire,Ristevski,MKD,Defender,Újpest,30,4,0,0,0,0,0,0
Visar,Musliu,MKD,Defender,Fehérvár,26,6,1,86,0,0,0,0
Stefan,Ristovski,MKD,Defender,Dinamo Zagreb,29,13,1,90,0,0,0,0
Darko,Velkoski,MKD,Defender,Rijeka,25,14,1,90,0,0,0,0
